,index,school_name,enrollment
358,358,San Jose City College,7271
359,359,University of Cincinnati-Main Campus,24066
360,360,Columbus State Community College,12643
361,361,University of Akron Main Campus,17240
362,362,North Dakota State University-Main Campus,11719
363,363,University of Dayton,8556
364,364,Sinclair Community College,16282
365,365,Owens Community College,7655
366,366,North Carolina Central University,5797
367,367,University of North Carolina at Chapel Hill,17951
368,368,SUNY at Binghamton,13465
369,369,SUNY Cortland,6276
370,370,SUNY College at Geneseo,5548
371,371,Central Piedmont Community College,17922
372,372,Gaston College,5199
373,373,Duke University,6501
374,374,University of Oklahoma-Norman Campus,20689
375,375,University of Central Oklahoma,14270
376,376,Wright State University-Main Campus,12040
377,377,Rose State College,5843
378,378,Portland Community College,26259
379,379,Community College of Allegheny County,15540
380,380,Portland State University,19648
381,381,Drexel University,16227
382,382,California University of Pennsylvania,5715
383,383,Edinboro University of Pennsylvania,5141
384,384,East Stroudsburg University of Pennsylvania,6105
385,385,Pennsylvania State University-Main Campus,40179
386,386,Northampton County Area Community College,9730
387,387,Luzerne County Community College,5227
388,388,Lehigh University,5054
389,389,Community College of Philadelphia,17944
390,390,The University of Tennessee-Chattanooga,9976
391,391,Temple University,27983
392,392,The University of Tennessee-Knoxville,21661
393,393,Austin Peay State University,8915
394,394,Northeast State Community College,5339
395,395,Belmont University,5933
396,396,Texas A & M University-Commerce,7857
397,397,El Paso Community College,27583
398,398,Brookhaven College,8835
399,399,Vanderbilt University,6857
400,400,Horry-Georgetown Technical College,6354
401,401,South Dakota State University,9825
402,402,University of South Carolina-Upstate,5094
403,403,Saint Joseph's University,5248
404,404,University of Houston-Clear Lake,5403
405,405,Lamar University,9008
406,406,University of Houston-Downtown,13101
407,407,University of North Texas,30533
408,408,Utah Valley University,25751
409,409,Salt Lake Community College,22561
410,410,Texas Southern University,6696
411,411,Southern Utah University,5977
412,412,University of Vermont,10081
413,413,Stephen F Austin State University,10562
414,414,Texas A & M University-College Station,48707
415,415,San Antonio College,17004
416,416,Navarro College,9592
417,417,The University of Texas at Dallas,15559
418,418,Temple College,5518
419,419,Laredo Community College,7792
420,420,Midwestern State University,5287
421,421,Mountain View College,6849
422,422,Lee College,6027
423,423,George Mason University,22308
424,424,John Tyler Community College,6214
425,425,James Madison University,19019
426,426,Liberty University,49542
427,427,Old Dominion University,19870
428,428,Radford University,8839
429,429,The University of Texas at Tyler,6059
430,430,Wharton County Junior College,6232
431,431,Texas Christian University,8851
432,432,Germanna Community College,5267
433,433,Tidewater Community College,22626
434,434,Marshall University,8780
435,435,University of Washington-Seattle Campus,30022
436,436,Madison Area Technical College,11232
437,437,Western Washington University,14336
438,438,Spokane Falls Community College,5174
439,439,Spokane Community College,5690
440,440,Clark College,8234
441,441,Inter American University of Puerto Rico-Metro,6350
442,442,Pontifical Catholic University of Puerto Rico-Ponce,5427
443,443,Instituto de Banca y Comercio Inc,13719
444,444,University of Wyoming,9842
445,445,University of Wisconsin-Platteville,7785
446,446,University of Wisconsin-La Crosse,9462
447,447,University of Wisconsin-Green Bay,5502
448,448,University of Wisconsin-Eau Claire,9844
449,449,University of Puerto Rico-Mayaguez,11518
450,450,Harrisburg Area Community College-Harrisburg,17235
451,451,Indiana University of Pennsylvania-Main Campus,11297
452,452,Lehigh Carbon Community College,5801
453,453,Purdue University-Main Campus,30233
454,454,Chandler-Gilbert Community College,9677
455,455,DePaul University,15683
456,456,Columbia College Chicago,8492
457,457,College of DuPage,16501
458,458,Idaho State University,8969
459,459,City Colleges of Chicago-Harold Washington College,7943
460,460,Florida State University,32229
461,461,University of North Florida,13562
462,462,Keiser University-Ft Lauderdale,15023
463,463,Pasco-Hernando State College,9254
464,464,Boise State University,15959
465,465,Valdosta State University,8692
466,466,University of West Georgia,10309
467,467,Georgia College and State University,5933
468,468,Kapiolani Community College,5643
469,469,Leeward Community College,5628
470,470,Hillsborough Community College,23138
471,471,Seminole State College of Florida,15747
472,472,The University of Tampa,7061
473,473,Joliet Junior College,11955
474,474,College of Lake County,10711
475,475,Northwestern University,8576
476,476,Savannah College of Art and Design,9421
477,477,Gwinnett Technical College,6435
478,478,Rasmussen College-Florida,7352
